MTDT_INDEX,DTCT_UID,ROAD_POTHOLE,ROAD_CRACK,PLC_LTTD,PLC_LGTD,ROAD_INFO,DSTA_LGLD_INFO,DSTA_ADSTRD_INFO,IMG_CONF
10378,RAD04_240320093823_22574,1,0,36.3985853,127.3149502,대전광역시 유성구 외삼동 220,외삼동,노은2동,₩0
10216,RAD04_240320080005_19385,1,0,36.361201,127.338621,대전광역시 유성구 장대동 351,장대동,온천2동,₩0
9926,RAD04_240319155251_14589,1,0,36.3781416,127.3766398,대전광역시 유성구 가정동 37,가정동,신성동,₩0
9921,RAD04_240319155035_14330,1,0,36.3855468,127.3785166,대전광역시 유성구 도룡동 409,도룡동,신성동,₩0
9920,RAD04_240319155034_14329,1,0,36.3855657,127.3784788,대전광역시 유성구 도룡동 409,도룡동,신성동,₩0
9908,RAD04_240319154627_14114,1,0,36.3855478,127.3561245,대전광역시 유성구 신성동 산 5-7,신성동,신성동,₩0
9741,RAD04_240319104813_12419,1,0,36.3656542,127.3326867,대전광역시 유성구 장대동 121-2,장대동,온천2동,₩0
9740,RAD04_240319104811_12418,1,0,36.3657853,127.3326057,대전광역시 유성구 장대동 121-2,장대동,온천2동,₩0
9736,RAD04_240319104348_12290,1,0,36.3684685,127.3176704,대전광역시 유성구 노은동 583,노은동,노은1동,₩0
9700,RAD04_240319102704_11308,1,0,36.3655623,127.3176768,대전광역시 유성구 노은동 611,노은동,노은1동,₩0
9695,RAD04_240319102350_11159,1,0,36.3611757,127.3284398,대전광역시 유성구 장대동 228-8,장대동,온천2동,₩0
9584,RAD04_240319074807_7391,1,0,36.3610381,127.3419231,대전광역시 유성구 궁동 472,궁동,온천2동,₩0
9444,RAD04_240319063615_5685,1,0,36.3697593,127.3234051,대전광역시 유성구 노은동 599,노은동,노은1동,₩0
9369,RAD04_240318152349_4375,1,0,36.3868764,127.3248244,대전광역시 유성구 하기동 596,하기동,노은2동,₩0
9239,RAD04_240318135228_1247,1,0,36.3578995,127.3361589,대전광역시 유성구 장대동 293,장대동,온천2동,₩0
9058,RAD04_240316085159_18758,1,0,36.3709835,127.3271067,대전광역시 유성구 노은동 107-18,노은동,노은1동,₩0
9057,RAD04_240316085157_18729,1,0,36.3708263,127.3271085,대전광역시 유성구 노은동 107-18,노은동,노은1동,₩0
9053,RAD04_240316085148_18640,1,0,36.3694598,127.3271185,대전광역시 유성구 노은동 112-17,노은동,노은1동,₩0
9050,RAD04_240316085136_18543,1,0,36.3678407,127.3271244,대전광역시 유성구 노은동 63-29,노은동,노은1동,₩0
8989,RAD04_240316080041_16303,1,0,36.3618632,127.3575563,대전광역시 유성구 어은동 59-12,어은동,온천2동,₩0
8943,RAD04_240316073524_15455,1,0,36.350304,127.3386231,대전광역시 유성구 봉명동 576-1,봉명동,온천1동,₩0
8933,RAD04_240316072631_15330,1,0,36.3575365,127.3399083,대전광역시 유성구 장대동 373,장대동,온천2동,₩0
8928,RAD04_240316072524_15220,1,0,36.3582065,127.3396608,대전광역시 유성구 장대동 373,장대동,온천2동,₩0
8927,RAD04_240316072451_15094,1,0,36.3593666,127.3392583,대전광역시 유성구 장대동 373,장대동,온천2동,₩0
8920,RAD04_240316072111_14866,1,0,36.3596018,127.3361984,대전광역시 유성구 장대동 290,장대동,온천2동,₩0
8919,RAD04_240316072046_14836,1,0,36.3587096,127.3362763,대전광역시 유성구 장대동 290,장대동,온천2동,₩0
8918,RAD04_240316072046_14835,1,0,36.3587096,127.3362763,대전광역시 유성구 장대동 290,장대동,온천2동,₩0
8917,RAD04_240316072005_14809,1,0,36.3586145,127.3371732,대전광역시 유성구 장대동 290,장대동,온천2동,₩0
8916,RAD04_240316072002_14805,1,0,36.3586141,127.3372929,대전광역시 유성구 장대동 290,장대동,온천2동,₩0
