Year,Month,Day,PLC_LTTD,PLC_LGTD
2024,7,23,36.3042144,127.3203217
2024,7,23,36.3034721,127.3176269
2024,7,23,36.3025569,127.3156015
2024,7,23,36.3010087,127.3153214
2024,7,23,36.3006165,127.3154704
2024,7,23,36.2997707,127.3157655
2024,7,23,36.299355,127.3159116
2024,7,23,36.2986844,127.3161518
2024,7,23,36.2979338,127.3150333
2024,7,23,36.2983857,127.3157099
2024,7,23,36.2986134,127.316021
2024,7,23,36.2993358,127.3157872
2024,7,23,36.3047175,127.320255
2024,7,23,36.3051794,127.3200677
2024,7,23,36.3110067,127.3174702
2024,7,23,36.3144026,127.3157373
2024,7,23,36.3149986,127.3155018
2024,7,23,36.3201457,127.3136482
2024,7,23,36.3244361,127.3123075
2024,7,23,36.3273335,127.3122078
2024,7,23,36.3297016,127.3129649
2024,7,23,36.3299821,127.3131031
2024,7,23,36.3361049,127.3167407
2024,7,23,36.3486282,127.3267053
2024,7,23,36.3486235,127.3312673
2024,7,23,36.3486235,127.3313473
2024,7,23,36.3486556,127.3335618
2024,7,23,36.3486585,127.3358612
2024,7,23,36.3486706,127.3366655
2024,7,23,36.3486802,127.3371163
2024,7,23,36.3486954,127.3380289
2024,7,23,36.3488061,127.34008
2024,7,23,36.3493848,127.3400517
2024,7,23,36.3575433,127.3427661
2024,7,23,36.3617499,127.3567053
2024,7,22,36.3624017,127.3566568
2024,7,22,36.3625815,127.3565681
2024,7,22,36.3624276,127.3561928
2024,7,22,36.3623562,127.3558128
2024,7,22,36.3607481,127.3541642
2024,7,22,36.3664505,127.3388563
2024,7,22,36.3666444,127.3389231
2024,7,22,36.3717595,127.3322677
2024,7,22,36.3717463,127.3320898
2024,7,22,36.371338,127.3343033
2024,7,22,36.3713166,127.3348578
2024,7,22,36.3717194,127.3350072
2024,7,22,36.3724771,127.3351261
2024,7,22,36.3762196,127.3386853
2024,7,22,36.3761708,127.338887
2024,7,5,36.4260338,127.3861304
2024,7,5,36.4247696,127.3893087
2024,7,5,36.4173268,127.3925418
2024,7,5,36.417348,127.3920276
2024,7,5,36.419045,127.3816008
2024,7,5,36.4122634,127.3782527
2024,7,5,36.3893202,127.344826
2024,7,5,36.3888104,127.3444614
2024,7,5,36.3690262,127.3399345
2024,7,5,36.3667682,127.3178224
2024,7,5,36.3702015,127.3075914
2024,7,5,36.3742684,127.3054428
2024,7,4,36.3609688,127.3443927
2024,7,4,36.3430638,127.3396858
2024,7,4,36.3424997,127.3393408
2024,7,4,36.333173,127.3330209
2024,7,4,36.3319019,127.3329873
2024,7,4,36.3281217,127.3329672
2024,7,4,36.3525198,127.3409494
2024,7,4,36.3957444,127.3561093
2024,5,27,36.3584422,127.3285623
