월,도로,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,총교통량
2024년 04월,갑천도시고속도로,830,555,428,535,744,"1,581","3,455","6,112","6,646","5,486","4,736","4,477","4,358","4,820","4,890","5,162","5,750","6,643","6,234","4,160","3,350","2,691","1,936","1,317",86896
2024년 04월,대둔산길(1),74,79,64,77,133,283,593,998,"1,026",975,997,948,903,997,"1,011","1,034","1,039","1,057",852,539,355,237,154,97,14522
2024년 04월,대학로(1),211,147,108,95,102,193,468,"1,151","1,769","1,434","1,214","1,276","1,312","1,369","1,334","1,345","1,504","1,603","1,593",959,786,617,455,299,21344
2024년 04월,배울1로,149,113,95,96,112,174,343,927,"1,194",782,626,627,657,674,681,748,853,"1,033","1,108",634,488,425,317,222,13078
2024년 04월,동서대로2,500,352,279,235,319,596,"1,224","2,046","2,723","2,431","2,163","2,043","1,977","2,157","2,169","2,335","2,642","2,762","2,771","2,139","1,848","1,591","1,128",715,39145
2024년 05월,가장로,470,350,266,223,304,585,"1,172","1,661","1,982","1,905","1,908","1,840","1,725","1,862","1,878","1,939","2,087","2,210","2,020","1,626","1,435","1,254",978,664,32344
2024년 05월,가정로,217,171,187,176,226,282,642,"1,460","2,341","1,923","1,265","1,541","1,527","1,449","1,326","1,464","1,827","2,307","2,024","1,257",912,739,506,289,26058
2024년 05월,계룡로,871,631,479,393,445,920,"1,718","2,701","3,261","3,179","3,184","3,214","3,121","3,347","3,374","3,329","3,519","3,693","3,586","2,932","2,636","2,383","1,927","1,254",56097
2024년 05월,계백로,852,584,405,338,405,910,"1,708","2,393","2,923","3,039","3,038","3,178","2,985","3,178","3,142","3,219","3,381","3,601","3,447","2,750","2,365","2,143","1,670","1,184",52838
2024년 05월,계족로,463,316,229,231,363,705,"1,252","1,795","2,029","1,894","1,902","1,881","1,915","1,959","2,012","2,040","2,147","2,166","1,999","1,558","1,386","1,183",940,673,33038
2024년 05월,구봉로,120,105,131,94,109,142,254,500,689,550,521,550,556,561,590,621,670,712,749,485,371,306,228,155,9769
2024년 05월,노은길,189,136,111,95,106,149,281,766,942,844,777,832,886,902,900,932,"1,058","1,256","1,350",912,683,600,446,273,15426
2024년 05월,노은로,194,130,102,102,140,344,810,"1,857","2,200","1,856","1,434","1,423","1,459","1,553","1,584","1,728","2,097","2,513","2,267","1,409","1,090",872,562,299,28025
2024년 05월,대전로,498,285,225,242,303,615,"1,086","1,455","1,595","1,660","1,704","1,668","1,618","1,714","1,753","1,763","1,815","1,800","1,665","1,388","1,286","1,222","1,015",732,29107
2024년 05월,대종로,365,262,210,186,224,491,810,"1,209","1,514","1,423","1,458","1,475","1,490","1,593","1,678","1,730","1,791","1,836","1,771","1,240","1,081",955,772,505,26069
2024년 05월,대청길,92,70,58,57,68,144,293,571,620,597,658,720,765,808,797,782,804,793,731,543,440,331,220,145,11107
2024년 05월,동서로,674,497,398,340,450,928,"1,711","2,372","2,851","2,728","2,774","2,739","2,745","2,834","2,886","2,928","3,038","3,095","2,940","2,447","2,221","1,942","1,531","1,013",48082
2024년 05월,문지로,83,66,58,57,61,139,315,836,998,699,481,521,541,547,528,589,752,899,787,448,307,242,167,109,10230
2024년 05월,문화로,169,125,99,90,138,277,500,811,971,872,884,880,886,896,935,936,"1,017","1,019","1,011",691,560,492,373,240,14872
2024년 05월,배재로,381,267,227,188,233,437,677,872,"1,060","1,177","1,057","1,090","1,047","1,149","1,122","1,248","1,358","1,451","1,329","1,087",946,912,729,507,20551
2024년 05월,벌곡길,78,71,68,71,80,144,280,547,610,560,612,618,591,655,708,716,717,742,697,367,267,198,162,97,9656
2024년 05월,보문로,226,176,145,138,199,368,671,"1,017","1,056","1,119","1,118","1,083","1,062","1,090","1,110","1,091",987,958,943,764,759,717,556,349,17702
2024년 05월,옥천길,123,97,91,85,112,258,524,969,"1,113",946,944,"1,066","1,081","1,178","1,223","1,265","1,390","1,539","1,318",784,627,420,279,174,17606
2024년 05월,우암로,190,130,107,92,156,299,511,936,"1,130",900,854,886,902,920,920,978,"1,084","1,167","1,186",835,646,564,434,279,16106
2024년 05월,자양로,453,332,246,210,238,419,707,"1,095","1,357","1,370","1,333","1,390","1,413","1,423","1,374","1,501","1,571","1,631","1,602","1,311","1,133","1,040",820,596,24565
2024년 05월,충무로,246,190,153,142,204,408,718,"1,121","1,449","1,361","1,320","1,387","1,416","1,436","1,419","1,433","1,579","1,670","1,574","1,074",884,820,616,366,22986
2024년 05월,가오동길,117,78,62,73,106,239,382,598,749,666,652,644,655,737,756,802,880,957,844,548,441,364,246,167,11763
