Year,Month,Day,PLC_LTTD,PLC_LGTD,Grid_X,Grid_Y,Grid_ID
2024,3,6,36.3999396,127.3122468,13,2,62
2024,3,6,36.3991151,127.3140179,13,2,62
2024,3,6,36.3989653,127.3142435,13,3,63
2024,3,6,36.387443,127.3184973,12,3,54
2024,3,6,36.3874912,127.3186007,12,3,54
2024,3,5,36.3621484,127.3354577,9,5,30
2024,3,5,36.3615682,127.3351341,9,5,30
2024,3,5,36.3611856,127.3534735,9,6,31
2024,3,5,36.3626943,127.3474261,9,6,31
2024,3,5,36.3626943,127.3474261,9,6,31
2024,3,5,36.3666778,127.3312545,9,4,29
2024,3,5,36.3736319,127.3193243,10,3,34
2024,3,4,36.3849263,127.3215201,11,3,43
2024,3,4,36.3609309,127.3530891,9,6,31
2024,3,1,36.3747976,127.3193131,10,3,34
2024,2,29,36.3775002,127.3059954,11,2,42
2024,2,29,36.3644295,127.3084739,9,2,27
2024,2,29,36.3644295,127.3084739,9,2,27
2024,2,29,36.366928,127.3109622,9,2,27
2024,2,29,36.3521803,127.3339143,8,4,22
2024,2,29,36.3509413,127.3349733,8,5,23
2024,9,8,36.3623567,127.3568282,9,7,32
2024,9,8,36.3403616,127.3087813,7,2,17
2024,9,8,36.3385493,127.316879,7,3,18
2024,9,8,36.3378753,127.325972,7,4,19
2024,9,8,36.3454733,127.3389475,7,5,20
2024,7,26,36.3666797,127.3272001,9,4,29
2024,7,26,36.4069446,127.3732953,14,8,70
2024,7,1,36.3685649,127.3137784,10,2,33
2024,7,1,36.369035,127.3142954,10,3,34
2024,7,1,36.3702158,127.3150586,10,3,34
2024,7,1,36.3804669,127.3165383,11,3,43
2024,7,1,36.3834115,127.3175792,11,3,43
2024,7,1,36.3802982,127.3164768,11,3,43
2024,6,27,36.3614293,127.3564059,9,7,32
2024,6,27,36.358084,127.3432458,9,5,30
2024,6,27,36.4248486,127.3936643,15,10,77
2024,6,26,36.3635934,127.3406701,9,5,30
2024,6,24,36.3636969,127.3603858,9,7,32
2024,6,24,36.3972687,127.3550816,13,7,64
2024,6,21,36.3558611,127.342136,8,5,23
2024,6,21,36.3607627,127.3542081,9,7,32
2024,6,20,36.4079284,127.3762414,14,9,71
2024,6,20,36.4086694,127.3777816,14,9,71
2024,6,20,36.40644,127.3848902,13,10,66
2024,6,20,36.4127951,127.3880919,14,10,72
2024,6,20,36.4160065,127.3779992,14,9,71
2024,6,20,36.3982791,127.3571694,13,7,64
2024,6,20,36.3907666,127.3318801,12,4,55
2024,6,20,36.3900826,127.3237051,12,3,54
2024,6,20,36.387186,127.3220784,12,3,54
2024,6,20,36.3751776,127.3260698,10,4,35
2024,6,20,36.3670016,127.3306055,10,4,35
